{0: 0.78, 1: 0.76, 2: 0.75, 3: 0.75, 4: 0.75, 5: 0.75, 6: 0.77, 7: 0.78, 8: 0.79}
{0: 0.78, 1: 0.78, 2: 0.77, 3: 0.75, 4: 0.74, 5: 0.73, 6: 0.7, 7: 0.68, 8: 0.66}
{0: 0.63, 1: 0.6, 2: 0.59, 3: 0.59, 4: 0.59, 5: 0.57, 6: 0.55, 7: 0.53, 8: 0.53}
{0: 0.5, 1: 0.46, 2: 0.41, 3: 0.38, 4: 0.36, 5: 0.37, 6: 0.38, 7: 0.41, 8: 0.42}
{0: 0.38, 1: 0.36, 2: 0.33, 3: 0.31, 4: 0.3, 5: 0.29, 6: 0.29, 7: 0.3, 8: 0.31}
{0: 0.28, 1: 0.26, 2: 0.24, 3: 0.24, 4: 0.24, 5: 0.25, 6: 0.26, 7: 0.27, 8: 0.31}
{0: 0.44, 1: 0.48, 2: 0.53, 3: 0.56, 4: 0.58, 5: 0.6, 6: 0.6, 7: 0.58, 8: 0.56}
{0: 0.58, 1: 0.59, 2: 0.58, 3: 0.57, 4: 0.56, 5: 0.57, 6: 0.57, 7: 0.56, 8: 0.55}
{0: 0.59, 1: 0.6, 2: 0.59, 3: 0.6, 4: 0.59, 5: 0.59, 6: 0.56, 7: 0.51, 8: 0.46}
{0: 0.4, 1: 0.34, 2: 0.31, 3: 0.29, 4: 0.26, 5: 0.23, 6: 0.22, 7: 0.21, 8: 0.2}
{0: 0.18, 1: 0.18, 2: 0.18, 3: 0.17, 4: 0.17, 5: 0.18, 6: 0.19, 7: 0.18, 8: 0.16}
{0: 0.15, 1: 0.16, 2: 0.17, 3: 0.18, 4: 0.21, 5: 0.22, 6: 0.23, 7: 0.27, 8: 0.3}
{0: 0.34, 1: 0.33, 2: 0.3, 3: 0.27, 4: 0.25, 5: 0.22, 6: 0.2, 7: 0.18, 8: 0.18}
{0: 0.17, 1: 0.15, 2: 0.13, 3: 0.13, 4: 0.12, 5: 0.12, 6: 0.12, 7: 0.1, 8: 0.1}
